day,classroom,capacity,occupied_periods,Nheld,Dw,fw,rank
mon,55S-03-01,50,0.0,0.0,0.0,2.0,1
mon,55S-03-07,50,0.0,0.0,0.0,2.0,2
mon,63PC-E,50,0.0,0.0,0.0,2.0,3
mon,63PC-F,48,0.0,0.0,0.0,2.0833333333333335,4
mon,61-210,108,0.5,7.0,0.5,463.8888888888889,5
mon,61-306,108,0.5,7.0,0.5,463.8888888888889,6
mon,61-102B,135,1.0,14.0,1.0,741.4814814814814,7
mon,54-302,121,1.0,14.0,1.0,827.2727272727271,8
mon,56-103,240,2.0,28.0,2.0,833.7499999999999,9
mon,61-104,108,1.0,14.0,1.0,926.8518518518518,10
mon,61-310,108,1.0,14.0,1.0,926.8518518518518,11
mon,61-409,108,1.0,14.0,1.0,926.8518518518518,12
mon,57-202,420,4.0,56.0,4.0,952.6190476190476,13
mon,53-303,95,1.0,14.0,1.0,1053.6842105263156,14
mon,53-403,95,1.0,14.0,1.0,1053.6842105263156,15
mon,61-314,90,1.0,14.0,1.0,1112.2222222222222,16
mon,57-201,420,5.0,70.0,5.0,1190.7142857142858,17
mon,52-104,164,2.0,28.0,2.0,1220.121951219512,18
mon,63-02-01,312,4.0,56.0,4.0,1282.371794871795,19
mon,63-02-02,312,4.0,56.0,4.0,1282.371794871795,20
mon,55S-03-08,150,2.0,28.0,2.0,1334.0,21
mon,52-302,220,3.0,42.0,3.0,1364.090909090909,22
mon,52-202,201,3.0,42.0,3.0,1493.0348258706467,23
mon,52-204,201,3.0,42.0,3.0,1493.0348258706467,24
mon,54-402,121,2.0,28.0,2.0,1653.7190082644627,25
mon,56-101,240,4.0,56.0,4.0,1667.0833333333337,26
mon,56-102,240,4.0,56.0,4.0,1667.0833333333337,27
mon,52-303,142,2.5,35.0,2.5,1761.2676056338028,28
mon,52-102,164,3.0,42.0,3.0,1829.8780487804877,29
mon,52-103,164,3.0,42.0,3.0,1829.8780487804877,30
mon,61-206,108,2.0,28.0,2.0,1852.7777777777778,31
mon,61-405,108,2.0,28.0,2.0,1852.7777777777778,32
mon,56-104,201,4.0,56.0,4.0,1990.5472636815923,33
mon,63PC-C,100,2.0,28.0,2.0,2001.0,34
mon,55S-03-03,50,1.0,14.0,1.0,2002.0,35
mon,54-404,121,2.5,35.0,2.5,2066.9421487603304,36
mon,53-201,95,2.0,28.0,2.0,2106.315789473684,37
mon,53-203,95,2.0,28.0,2.0,2106.315789473684,38
mon,52-201,142,3.0,42.0,3.0,2113.3802816901407,39
mon,60-102,90,2.0,28.0,2.0,2223.333333333333,40
mon,61-302,90,2.0,28.0,2.0,2223.333333333333,41
mon,61-413,90,2.0,28.0,2.0,2223.333333333333,42
mon,52-304,220,5.0,70.0,5.0,2273.1818181818185,43
mon,54-204,121,3.0,42.0,3.0,2480.1652892561983,44
mon,54-401,69,2.0,28.0,2.0,2900.0,45
mon,61-214,99,3.0,42.0,3.0,3031.313131313131,46
mon,54-B01,66,2.0,28.0,2.0,3031.8181818181815,47
mon,54-B02,66,2.0,28.0,2.0,3031.8181818181815,48
mon,54-B04,66,2.0,28.0,2.0,3031.8181818181815,49
mon,55S-02-01,121,4.0,56.0,4.0,3306.6115702479337,50
mon,60-202,90,3.0,42.0,3.0,3334.444444444444,51
mon,53-401,95,3.5,49.0,3.5,3685.2631578947367,52
mon,63PC-B,80,3.0,42.0,3.0,3751.2499999999995,53
mon,54-202,121,5.0,70.0,5.0,4133.05785123967,54
mon,54-304,121,5.0,70.0,5.0,4133.05785123967,55
mon,63PC-D,48,2.0,28.0,2.0,4168.749999999999,56
mon,54-103,69,3.0,42.0,3.0,4349.275362318841,57
mon,54-303,69,3.0,42.0,3.0,4349.275362318841,58
mon,61-401,90,4.0,56.0,4.0,4445.555555555556,59
mon,54-B03,66,3.0,42.0,3.0,4546.969696969697,60
mon,63PC-A,80,4.0,56.0,4.0,5001.25,61
mon,54-104,69,3.5,49.0,3.5,5073.913043478261,62
mon,61-202,90,5.0,70.0,5.0,5556.666666666667,63
mon,54-102,69,4.0,56.0,4.0,5798.550724637681,64
mon,54-203,69,4.0,56.0,4.0,5798.550724637681,65
mon,54-403,69,4.0,56.0,4.0,5798.550724637681,66
mon,53-103,50,3.0,42.0,3.0,6002.0,67
mon,55S-03-09,50,3.0,42.0,3.0,6002.0,68
mon,63PC-G,48,3.0,42.0,3.0,6252.083333333333,69
mon,53-301,95,6.0,84.0,6.0,6316.842105263158,70
mon,53-B01,52,3.5,49.0,3.5,6732.6923076923085,71
mon,54-201,69,5.0,70.0,5.0,7247.826086956523,72
mon,54-301,69,5.0,70.0,5.0,7247.826086956523,73
mon,53-204,52,4.0,56.0,4.0,7694.2307692307695,74
mon,53-304,52,4.0,56.0,4.0,7694.2307692307695,75
mon,53-404,52,4.0,56.0,4.0,7694.2307692307695,76
mon,53-B04,52,4.0,56.0,4.0,7694.2307692307695,77
mon,54-101,69,5.5,77.0,5.5,7972.463768115942,78
mon,53-101,50,4.0,56.0,4.0,8002.000000000001,79
mon,53-104,50,4.0,56.0,4.0,8002.000000000001,80
mon,53-B03,52,4.5,63.0,4.5,8655.76923076923,81
tue,52-201,142,0.0,0.0,0.0,0.7042253521126761,1
